Code,Code Description,Number of Occurences
19072,Disorderly Conduct,2
10075,Embezzlement,2
4146,Assault,2
26190,Other Miscellaneous,2
10140,Fraud,1
27072,Other Miscellaneous,2
6142,Larceny Theft,1
19088,Disorderly Conduct,1
26062,Other Miscellaneous,2
16636,Drug Offense,1
64018,Non-Criminal,1
1000,Homicide,1
5162,Burglary,1
30120,Other Offenses,1
5211,Burglary,1
60160,Suicide,1
5172,Burglary,2
51020,Non-Criminal,1
3453,Robbery,1
5163,Burglary,2
29070,Juvenile Offenses,1
72023,Non-Criminal,1
19058,Disorderly Conduct,1
3093,Robbery,1
3481,Robbery,1
10025,Embezzlement,2
4052,Assault,1
3433,Robbery,1
19084,Disorderly Conduct,1
6122,Larceny Theft,1
