INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I162008181,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,E13,307,,2016-01-30 23:46:00,2016,1,Saturday,23,Part One,WARDMAN RD,42.31529421,-71.09486034,"(42.31529421, -71.09486034)"
I162008178,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,758,,2016-01-30 22:48:00,2016,1,Saturday,22,Part One,BRACKETT ST,42.35110337,-71.16524536,"(42.35110337, -71.16524536)"
I162008166,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D14,792,,2016-01-30 09:15:00,2016,1,Saturday,9,Part One,COMMONWEALTH TER,42.34665104,-71.13976745,"(42.34665104, -71.13976745)"
I162007975,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,B3,444,,2016-01-30 04:56:00,2016,1,Saturday,4,Part One,GLENWAY ST,42.29843275,-71.08122675,"(42.29843275, -71.08122675)"
I162007973,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,A1,121,,2016-01-30 04:45:00,2016,1,Saturday,4,Part One,TREMONT ST,42.34942864,-71.06536641,"(42.34942864, -71.06536641)"
I162007964,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,803,,2016-01-30 02:30:00,2016,1,Saturday,2,Part One,HANO ST,42.35548407,-71.13741814,"(42.35548407, -71.13741814)"
I162007902,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D14,759,,2016-01-29 11:20:00,2016,1,Friday,11,Part One,FANEUIL ST,42.35215901,-71.16451939,"(42.35215901, -71.16451939)"
I162007838,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,C11,337,,2016-01-29 16:41:00,2016,1,Friday,16,Part One,BLAKEVILLE ST,42.30470597,-71.07091547,"(42.30470597, -71.07091547)"
I162007804,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,619,,2016-01-28 08:00:00,2016,1,Thursday,8,Part One,SYMPHONY RD,42.34295335,-71.08833139,"(42.34295335, -71.08833139)"
I162007795,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,146,,2016-01-28 10:00:00,2016,1,Thursday,10,Part One,SAINT BOTOLPH ST,42.34561901,-71.07990847,"(42.34561901, -71.07990847)"
I162007720,00541,Commercial Burglary,BURGLARY - COMMERICAL - ATTEMPT,C6,174,,2016-01-29 10:48:00,2016,1,Friday,10,Part One,DORCHESTER AVE,42.33543317,-71.05705378,"(42.33543317, -71.05705378)"
