INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182039356,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3,468,,2018-05-23 11:18:00,2018,5,Wednesday,11,Other,WELLINGTON HILL ST,42.28039667,-71.09473186,"(42.28039667, -71.09473186)"
I182039336,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B3,431,,2018-05-23 10:21:11,2018,5,Wednesday,10,Other,LUCERNE ST,42.28792347,-71.08815774,"(42.28792347, -71.08815774)"
I182039319,00724,Auto Theft,AUTO THEFT,A1,125,,2018-05-23 09:13:00,2018,5,Wednesday,9,Part One,STUART ST,42.35064439,-71.06811584,"(42.35064439, -71.06811584)"
I182039208,00724,Auto Theft,AUTO THEFT,B3,458,,2018-05-19 12:00:00,2018,5,Saturday,12,Part One,GLENWAY ST,42.30131086,-71.08443841,"(42.30131086, -71.08443841)"
I182038978,00724,Auto Theft,AUTO THEFT,D14,814,,2018-05-19 23:00:00,2018,5,Saturday,23,Part One,N HARVARD ST,42.35994365,-71.12832469,"(42.35994365, -71.12832469)"
I182038922,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,D4,145,,2018-05-21 22:00:00,2018,5,Monday,22,Part One,MASSACHUSETTS AVE,42.34194788,-71.08362479,"(42.34194788, -71.08362479)"
I182038916,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,E18,487,,2018-05-22 02:30:00,2018,5,Tuesday,2,Part One,RADCLIFFE RD,42.26644911,-71.10602031,"(42.26644911, -71.10602031)"
I182038826,00724,Auto Theft,AUTO THEFT,B3,447,,2018-05-21 19:26:00,2018,5,Monday,19,Part One,PARK ST,42.29467186,-71.07684844,"(42.29467186, -71.07684844)"
I182038820,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,E13,570,,2018-05-18 17:30:00,2018,5,Friday,17,Part One,WILLIAMS ST,42.30397603,-71.10476982,"(42.30397603, -71.10476982)"
I182038808,00724,Auto Theft,AUTO THEFT,B2,267,,2018-05-21 18:52:00,2018,5,Monday,18,Part One,MOUNT PLEASANT AVE,42.32635760,-71.07886301,"(42.32635760, -71.07886301)"
I182038707,00724,Auto Theft,AUTO THEFT,A7, ,,2018-05-21 14:34:00,2018,5,Monday,14,Part One,CENTRAL SQ,,,"(0.00000000, 0.00000000)"
I182038703,00724,Auto Theft,AUTO THEFT,A1,79,,2018-05-18 13:00:00,2018,5,Friday,13,Part One,ENDICOTT ST,42.36559118,-71.05743320,"(42.36559118, -71.05743320)"
I182038678,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,D14,786,,2018-05-19 10:00:00,2018,5,Saturday,10,Part One,COREY RD,42.34141304,-71.14166935,"(42.34141304, -71.14166935)"
I182038636,00724,Auto Theft,AUTO THEFT,B2,237,,2018-05-19 14:00:00,2018,5,Saturday,14,Part One,ELDER ST,42.32048568,-71.06398934,"(42.32048568, -71.06398934)"
I182038629,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),E18,493,,2018-05-21 10:13:00,2018,5,Monday,10,Other,ELLARD RD,42.26480031,-71.11102534,"(42.26480031, -71.11102534)"
I182038609,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),D4,171,,2018-05-21 08:58:00,2018,5,Monday,8,Other,HARRISON AVE,,,"(0.00000000, 0.00000000)"
I182038603,00724,Auto Theft,AUTO THEFT,B3,468,,2018-05-21 09:26:00,2018,5,Monday,9,Part One,HAZLETON ST,42.27997063,-71.09553354,"(42.27997063, -71.09553354)"
I182038582,00724,Auto Theft,AUTO THEFT,E18,520,,2018-05-21 00:00:00,2018,5,Monday,0,Part One,HYDE PARK AVE,42.25767476,-71.12367146,"(42.25767476, -71.12367146)"
