INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I172102283,03301,Verbal Disputes,VERBAL DISPUTE,D4,146,,2017-12-10 03:16:00,2017,12,Sunday,3,Part Three,HUNTINGTON AVE,42.34585625,-71.08099529,"(42.34585625, -71.08099529)"
I172102187,03301,Verbal Disputes,VERBAL DISPUTE,, ,,2017-12-09 17:16:00,2017,12,Saturday,17,Part Three,MCGREEVEY,-1.00000000,-1.00000000,"(-1.00000000, -1.00000000)"
I172102186,03301,Verbal Disputes,VERBAL DISPUTE,B3,453,,2017-12-09 17:32:00,2017,12,Saturday,17,Part Three,ALGONQUIN ST,42.29779501,-71.07384157,"(42.29779501, -71.07384157)"
I172102155,03301,Verbal Disputes,VERBAL DISPUTE,C11,462,,2017-12-09 15:57:00,2017,12,Saturday,15,Part Three,BOWDOIN AVE,42.30090969,-71.07425843,"(42.30090969, -71.07425843)"
I172102141,03301,Verbal Disputes,VERBAL DISPUTE,D14,774,,2017-12-09 14:39:00,2017,12,Saturday,14,Part Three,COMMONWEALTH AVE,42.33836272,-71.15441001,"(42.33836272, -71.15441001)"
I172102113,03301,Verbal Disputes,VERBAL DISPUTE,E13,307,,2017-12-09 11:48:00,2017,12,Saturday,11,Part Three,WESTMINSTER AVE,42.31609763,-71.09524853,"(42.31609763, -71.09524853)"
I172102065,03301,Verbal Disputes,VERBAL DISPUTE,B2,319,,2017-12-09 07:55:00,2017,12,Saturday,7,Part Three,SEAVER ST,42.30715951,-71.08823566,"(42.30715951, -71.08823566)"
I172102050,03301,Verbal Disputes,VERBAL DISPUTE,C11,401,,2017-12-09 05:12:00,2017,12,Saturday,5,Part Three,TALBOT AVE,42.28714820,-71.06493039,"(42.28714820, -71.06493039)"
I172102043,03301,Verbal Disputes,VERBAL DISPUTE,B3,469,,2017-12-09 04:10:00,2017,12,Saturday,4,Part Three,HIAWATHA RD,42.27683754,-71.09526440,"(42.27683754, -71.09526440)"
I172102032,03301,Verbal Disputes,VERBAL DISPUTE,B3,458,,2017-12-09 00:39:00,2017,12,Saturday,0,Part Three,HEWINS ST,42.30301051,-71.08183060,"(42.30301051, -71.08183060)"
I172101954,03301,Verbal Disputes,VERBAL DISPUTE,B3,427,,2017-12-08 18:34:00,2017,12,Friday,18,Part Three,NORFOLK ST,42.27668390,-71.09240248,"(42.27668390, -71.09240248)"
